split_mode,feature_type,n_train,n_val,n_test,seed,n_pos_req,n_neg_req,pos_metric,neg_metric,overall_metric,best_epoch
domain,rdkit3d,,,,0,10,6990,0.4256029592620002,0.642530945845788,0.6371002049549316,10
domain,rdkit3d,,,,1,10,6990,0.4110577384320398,0.6482578751215241,0.642319623580376,8
domain,rdkit3d,,,,2,10,6990,0.39855874743726516,0.6462365955768018,0.6400360382642591,8
domain,rdkit3d,,,,3,10,6990,0.38019019323918557,0.642822262455049,0.6362473300239784,6
domain,rdkit3d,,,,4,10,6990,0.42305346702535945,0.6424098052290373,0.6369182695945536,8
domain,rdkit3d,,,,0,50,6950,0.5464019870592488,0.6404343024640212,0.6380802252781946,8
domain,rdkit3d,,,,1,50,6950,0.4939692161149449,0.647470183605089,0.6436273221801501,9
domain,rdkit3d,,,,2,50,6950,0.48356927641563946,0.6461775563099288,0.642106696354518,8
domain,rdkit3d,,,,3,50,6950,0.4761841615868939,0.6444554103514479,0.6402427772505621,7
domain,rdkit3d,,,,4,50,6950,0.4705467304835717,0.6388208092590223,0.6346081060309465,9
domain,rdkit3d,,,,0,100,6900,0.6083626536031564,0.6413027115621884,0.640478066032071,8
domain,rdkit3d,,,,1,100,6900,0.5680177551176813,0.6501395394294901,0.6480836398285582,8
domain,rdkit3d,,,,2,100,6900,0.573775163748198,0.6393735036061288,0.6377312641957404,9
domain,rdkit3d,,,,3,100,6900,0.5536745881868733,0.6382823129890011,0.6361641782466763,11
domain,rdkit3d,,,,4,100,6900,0.4940671351634794,0.64793865471054,0.6440865175555018,7
domain,rdkit3d,,,,0,120,6880,0.6393497867716683,0.6406868454819538,0.6406533734125548,9
domain,rdkit3d,,,,1,120,6880,0.5949976713293128,0.6460472221961896,0.6447692087214176,9
domain,rdkit3d,,,,2,120,6880,0.5744527263773812,0.640312923080608,0.638664129017224,9
domain,rdkit3d,,,,3,120,6880,0.5728977968295416,0.6409789209012288,0.6392745263732047,8
domain,rdkit3d,,,,4,120,6880,0.5193936944835715,0.6398272964910517,0.6368122681587199,9
domain,bert,,,,0,0,7000,0.3672616970207956,0.618538352363901,0.612247698772595,7
domain,bert,,,,1,0,7000,0.36110216565430164,0.6272466784815095,0.6205838124537504,5
domain,bert,,,,2,0,7000,0.3572348068571753,0.618587129421867,0.6120442332517257,5
domain,bert,,,,3,0,7000,0.33618755400594735,0.618740689731502,0.6116670365484175,6
domain,bert,,,,4,0,7000,0.35706521860427326,0.6197532607148137,0.613176926459485,5
domain,bert,,,,0,10,6990,0.37548088116778267,0.6133385572579826,0.6073838466964921,6
domain,bert,,,,1,10,6990,0.3830330905297564,0.6195706357161771,0.6136489711981655,6
domain,bert,,,,2,10,6990,0.4102051402959559,0.6165403141806197,0.6113747606812996,6
domain,bert,,,,3,10,6990,0.36678402808805305,0.6171487957337465,0.6108809707333983,5
domain,bert,,,,4,10,6990,0.3513235315266583,0.6184100946803417,0.6117236424575564,6
domain,bert,,,,0,50,6950,0.4911627418672045,0.6214748668310348,0.6182125315940595,6
domain,bert,,,,1,50,6950,0.47104254220094943,0.6178250504596512,0.6141503837972527,5
domain,bert,,,,2,50,6950,0.4807442906830046,0.6127424901935901,0.6094379446201119,5
domain,bert,,,,3,50,6950,0.4865744560956955,0.621423017018383,0.6180471139823984,6
domain,bert,,,,4,50,6950,0.49466972508364254,0.6213062753171504,0.6181359584015821,5
domain,bert,,,,0,100,6900,0.5859668722583188,0.6120272645535487,0.6113748484186217,6
domain,bert,,,,1,100,6900,0.5594443455338478,0.6174117345562186,0.6159605345829948,6
domain,bert,,,,2,100,6900,0.534822496275107,0.612148123831168,0.6102122945266728,7
domain,bert,,,,3,100,6900,0.5422262073391013,0.6134028071707006,0.6116209175481081,6
domain,bert,,,,4,100,6900,0.5200114991101954,0.618391208351987,0.6159282956877594,6
domain,bert,,,,0,120,6880,0.6052285308639208,0.6171286836792629,0.6168307666362409,5
domain,bert,,,,1,120,6880,0.5681590959429741,0.6205291565608622,0.6192180823239398,5
domain,bert,,,,2,120,6880,0.552018685059415,0.6123701100544565,0.6108592282617996,5
domain,bert,,,,3,120,6880,0.5730439325173696,0.6144379279038173,0.6134016397286087,5
domain,bert,,,,4,120,6880,0.5241173845198419,0.6188484128294234,0.6164768437258459,5
domain,flag,,,,0,0,7000,0.43584181658095783,0.5993140424002552,0.5952215526221898,14
domain,flag,,,,1,0,7000,0.42409484771390754,0.6049037165434954,0.6003772090208589,15
domain,flag,,,,2,0,7000,0.4482544937895404,0.5929479966904655,0.5893256277446952,16
domain,flag,,,,3,0,7000,0.37185509712435305,0.5971731603924137,0.5915323738118838,13
domain,flag,,,,4,0,7000,0.40151871513161397,0.6019353968746954,0.5969180118927916,14
domain,flag,,,,0,10,6990,0.3630708304958211,0.5989125776234164,0.5930083324641808,11
