feature_type,n_train,n_val,n_test,seed,pos_metric,neg_metric,overall_metric,best_epoch
bert,500,500,1000,1,0.4111629796028137,0.47712820562772834,0.4754790740495082,2
bert,500,500,1000,2,0.30988933847231026,0.4752244191928288,0.47241372361406686,2
bert,500,500,1000,3,0.3557662882376462,0.47174852709107923,0.46803709540725685,3
bert,500,500,1000,4,0.40507233278317883,0.4761680389834465,0.47460393234435466,3
bert,1000,500,1000,0,0.3362346740834641,0.4954725049644123,0.4902176554156467,2
bert,1000,500,1000,1,0.47814949069704327,0.5194315386097311,0.5188535899482667,3
bert,1000,500,1000,2,0.3554185456954516,0.5003950349863205,0.4966256477031857,2
bert,1000,500,1000,3,0.420488806020829,0.5133882337946626,0.5105083503341302,3
bert,1000,500,1000,4,0.4151281203542437,0.5131555380090811,0.5104107689913362,3
bert,2000,500,1000,0,0.4912268798108454,0.5493540987286254,0.547784663063474,2
bert,2000,500,1000,1,0.44798738812958755,0.5524704439739265,0.5496494007015135,2
bert,2000,500,1000,2,0.4849257841706276,0.5480240358384952,0.5468882672870532,2
bert,2000,500,1000,3,0.40903381825912566,0.550346055707587,0.5473784964412917,2
bert,2000,500,1000,4,0.4546497772846903,0.5371298190047775,0.5348203785015794,3
bert,5000,500,1000,0,0.6472316180404863,0.6030143048675023,0.6038544326275587,5
bert,5000,500,1000,1,0.558037016254205,0.6039398835314097,0.6027464099861681,5
bert,5000,500,1000,2,0.6154950128661262,0.6096240260776762,0.6097297028265893,4
bert,5000,500,1000,3,0.6298441102107366,0.5954084662509334,0.5964415341205895,3
bert,5000,500,1000,4,0.550454429971675,0.5967081056190925,0.5950429747002199,5
bert,7000,500,1000,0,0.5150743522323095,0.604128650672642,0.601813239807263,6
bert,7000,500,1000,1,0.6683424441587358,0.6004377813021385,0.6018637768714689,5
bert,7000,500,1000,2,0.6050478809259154,0.6110294067161824,0.6108978130053729,6
bert,7000,500,1000,3,0.5763091904421648,0.6252890662099311,0.6241135491542518,5
bert,7000,500,1000,4,0.65345898270607,0.616652175027471,0.6174987317940686,6
flag,500,500,1000,0,0.28549974298838415,0.44548996992106094,0.4402102921109763,3
flag,500,500,1000,1,0.26634752660989763,0.4434917239816143,0.43906311797443776,3
