number,value,datetime_start,datetime_complete,duration,params_cb_beta,params_dropout_rate,params_epochs,params_flag_boost,params_lr,params_patience,params_weight_decay,state
37,0.30047056328032407,2025-12-01 15:29:34.791286,2025-12-01 15:29:52.946773,0 days 00:00:18.155487,0.9914374868413748,0.39559333248248785,29,1.512384728371766,9.204775575452805e-05,28,0.00017037407572589592,COMPLETE
38,0.311667192339036,2025-12-01 15:29:53.013542,2025-12-01 15:30:21.092578,0 days 00:00:28.079036,0.990789879587875,0.256231949195622,49,2.0677216471692828,4.044197431788257e-05,26,1.8051023886019885e-05,COMPLETE
39,0.29206596045794253,2025-12-01 15:30:21.155399,2025-12-01 15:31:06.293867,0 days 00:00:45.138468,0.9968319775569646,0.09630328626406558,115,1.165565689902572,0.0002673493755179257,14,0.00060602837796744,COMPLETE
40,0.2889910949888121,2025-12-01 15:31:06.354181,2025-12-01 15:31:55.579253,0 days 00:00:49.225072,0.9991595110122774,0.18357299685508852,105,1.4164511106341073,0.00019751725175350438,20,0.0009775705812845696,COMPLETE
41,0.2842660779431385,2025-12-01 15:31:55.643934,2025-12-01 15:32:51.146344,0 days 00:00:55.502410,0.9986745087562184,0.1568065325087153,103,2.046685713590491,0.00021797101338352515,17,0.0002260498388932622,COMPLETE
42,0.2879497244631174,2025-12-01 15:32:51.220358,2025-12-01 15:33:50.145039,0 days 00:00:58.924681,0.9987038938556013,0.14607059708745304,108,2.06440638004536,0.0001296128604954953,11,0.0002591085808034035,COMPLETE
43,0.2861029437451909,2025-12-01 15:33:50.209631,2025-12-01 15:34:50.369411,0 days 00:01:00.159780,0.998224477437994,0.18782474809124924,115,2.2311228407539234,0.00019987639113289274,17,0.00035648033218024317,COMPLETE
44,0.2972094865037192,2025-12-01 15:34:50.430104,2025-12-01 15:35:36.479535,0 days 00:00:46.049431,0.9998919981929717,0.15235756474166262,98,1.7387077050147013,0.0004406885030673025,15,0.0001904814287377749,COMPLETE
45,0.28670748468523055,2025-12-01 15:35:36.551271,2025-12-01 15:36:35.521151,0 days 00:00:58.969880,0.9992084782167505,0.42741612181178856,110,1.908372662959968,0.000281296795594383,16,5.17756575482346e-05,COMPLETE
46,0.28672468157867653,2025-12-01 15:36:35.584213,2025-12-01 15:37:32.413633,0 days 00:00:56.829420,0.9921412555335846,0.0733530477936092,105,2.6652990441672575,0.00010194341617102396,20,0.000477759904243676,COMPLETE
47,0.28638264909002187,2025-12-01 15:37:32.475307,2025-12-01 15:38:34.802363,0 days 00:01:02.327056,0.9978840625077308,0.2870230479950182,116,1.8417616907280214,0.0003315853074245514,27,0.00010721472987502796,COMPLETE
48,0.2965591507430416,2025-12-01 15:38:34.885552,2025-12-01 15:39:23.766205,0 days 00:00:48.880653,0.9970519038202513,0.13188195858642335,90,2.98958785942916,8.22975471009791e-05,25,7.495705040124536e-05,COMPLETE
49,0.2894635372732692,2025-12-01 15:39:23.829950,2025-12-01 15:40:19.610998,0 days 00:00:55.781048,0.9955247179608565,0.22048404038345198,102,1.583706871422291,0.00014201344220945606,21,2.0961745654625262e-05,COMPLETE
