number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_epochs,params_lr,params_patience,params_weight_decay,state
55,0.291424376905457,2025-11-27 17:57:51.905295,2025-11-27 17:58:27.946261,0 days 00:00:36.040966,0.33160035095854073,61,0.00023706885176691172,19,0.00016233834750794914,COMPLETE
56,0.34742920983264597,2025-11-27 17:58:28.007707,2025-11-27 17:58:52.065202,0 days 00:00:24.057495,0.26613423977981926,39,1.061090340390034e-05,23,0.0005255582475743079,COMPLETE
57,0.336647603137434,2025-11-27 17:58:52.130454,2025-11-27 17:59:21.725038,0 days 00:00:29.594584,0.2866759055018932,50,1.4591394067166515e-05,21,0.00012061681876274829,COMPLETE
58,0.3029228865936111,2025-11-27 17:59:21.787478,2025-11-27 17:59:47.694536,0 days 00:00:25.907058,0.24518135591154486,43,8.663469236059649e-05,17,0.00031144066344561514,COMPLETE
59,0.29733789591093035,2025-11-27 17:59:47.756082,2025-11-27 18:00:08.767797,0 days 00:00:21.011715,0.2020744630500681,33,0.00012116615925677401,21,0.0009922643914221701,COMPLETE
60,0.2905962007433258,2025-11-27 18:00:08.836002,2025-11-27 18:00:45.879564,0 days 00:00:37.043562,0.29832119485982544,63,0.00015148709612870077,25,0.0006611643938818549,COMPLETE
61,0.2902714181537471,2025-11-27 18:00:45.962428,2025-11-27 18:01:22.589372,0 days 00:00:36.626944,0.29379059633247817,63,0.0001491957465495846,29,0.000621498509459993,COMPLETE
62,0.29110345630277945,2025-11-27 18:01:22.652662,2025-11-27 18:01:59.236014,0 days 00:00:36.583352,0.3001728817376846,63,0.00015417856182748204,30,0.0006203809941706317,COMPLETE
63,0.28974351147318017,2025-11-27 18:01:59.312600,2025-11-27 18:02:39.390353,0 days 00:00:40.077753,0.3024751929359843,69,0.00014594956243462248,30,0.000683912685775139,COMPLETE
64,0.2984495261483941,2025-11-27 18:02:39.455573,2025-11-27 18:03:18.579759,0 days 00:00:39.124186,0.35888919576392325,68,6.953583156372949e-05,30,0.0006205989682676706,COMPLETE
65,0.2919332284901096,2025-11-27 18:03:18.644331,2025-11-27 18:03:55.241891,0 days 00:00:36.597560,0.30183337492129014,62,0.00014415859647896501,29,0.0007659527711041102,COMPLETE
66,0.29425246196673266,2025-11-27 18:03:55.317443,2025-11-27 18:04:32.775014,0 days 00:00:37.457571,0.33336545081636715,64,9.559024405821325e-05,28,0.00057322331154833,COMPLETE
67,0.2915417701416436,2025-11-27 18:04:32.837438,2025-11-27 18:05:12.906717,0 days 00:00:40.069279,0.3204883667507594,70,0.00013069925133142718,29,0.00030773002171034905,COMPLETE
68,0.290676900506348,2025-11-27 18:05:12.972053,2025-11-27 18:05:45.267933,0 days 00:00:32.295880,0.29854438348476153,55,0.00015051723130614283,26,0.0009837302970750258,COMPLETE
69,0.2927086859038382,2025-11-27 18:05:45.330897,2025-11-27 18:06:17.725257,0 days 00:00:32.394360,0.35406519339850373,55,9.925359199030155e-05,27,0.0008622290883805983,COMPLETE
70,0.2917071104706483,2025-11-27 18:06:17.790358,2025-11-27 18:06:56.692605,0 days 00:00:38.902247,0.32275801087682593,67,0.00011606861970896999,27,0.0008001409519414633,COMPLETE
71,0.2901041993753312,2025-11-27 18:06:56.760793,2025-11-27 18:07:38.094690,0 days 00:00:41.333897,0.3101849606610573,72,0.00015340949066968378,29,0.0006818216972465168,COMPLETE
72,0.29036097290102114,2025-11-27 18:07:38.169275,2025-11-27 18:08:20.517785,0 days 00:00:42.348510,0.29603600398632596,73,0.00019019940205083867,26,0.0005252134433934665,COMPLETE
73,0.29024546271184914,2025-11-27 18:08:20.582117,2025-11-27 18:09:06.316106,0 days 00:00:45.733989,0.2984975050222446,80,0.00015420803475469353,26,0.0009883875193010554,COMPLETE
74,0.30197892504290114,2025-11-27 18:09:06.379290,2025-11-27 18:09:49.755073,0 days 00:00:43.375783,0.2644015504125181,77,0.0003147157463771467,26,0.0009853518254536815,COMPLETE
75,0.289658739547099,2025-11-27 18:09:49.819458,2025-11-27 18:10:30.764888,0 days 00:00:40.945430,0.3753263821668413,72,0.00012678221795270786,28,0.0006841504678135934,COMPLETE
76,0.29720084332237556,2025-11-27 18:10:30.827328,2025-11-27 18:11:15.402673,0 days 00:00:44.575345,0.3505230369889788,79,7.002112106516332e-05,29,0.0006856024207843428,COMPLETE
77,0.29189358335552795,2025-11-27 18:11:15.466222,2025-11-27 18:11:56.652588,0 days 00:00:41.186366,0.3815265864793386,72,0.00012620386109506694,28,0.0004971509723379278,COMPLETE
78,0.30029316053574406,2025-11-27 18:11:56.712800,2025-11-27 18:12:37.881453,0 days 00:00:41.168653,0.3709369619864789,71,5.8693867610026326e-05,25,0.0005569699528311288,COMPLETE
79,0.28756386386461497,2025-11-27 18:12:37.943076,2025-11-27 18:13:27.279310,0 days 00:00:49.336234,0.34083840830938666,85,0.00018236341783205333,30,0.00026871803748600273,COMPLETE
80,0.29360789635293083,2025-11-27 18:13:27.355882,2025-11-27 18:14:16.899899,0 days 00:00:49.544017,0.33914222689797013,86,8.986048839223132e-05,29,0.0002732447320684493,COMPLETE
81,0.2913757125865001,2025-11-27 18:14:16.963948,2025-11-27 18:15:02.101516,0 days 00:00:45.137568,0.31321618794281264,78,0.00018162807525083234,28,0.0006879068309614677,COMPLETE
82,0.291677071700083,2025-11-27 18:15:02.165928,2025-11-27 18:15:44.779325,0 days 00:00:42.613397,0.3243668403646964,74,0.00010716243825098876,30,0.0007726961016073381,COMPLETE
83,0.28747806601616305,2025-11-27 18:15:44.840804,2025-11-27 18:16:36.512005,0 days 00:00:51.671201,0.3452937302266595,92,0.00013580114232721328,27,0.0005174870491525612,COMPLETE
84,0.2888765210290914,2025-11-27 18:16:36.573455,2025-11-27 18:17:28.107851,0 days 00:00:51.534396,0.3443705725712266,92,0.00013850806099676967,27,0.0005345665996012497,COMPLETE
85,0.29932885853055424,2025-11-27 18:17:28.169587,2025-11-27 18:18:19.375619,0 days 00:00:51.206032,0.36993529370724415,91,0.00013132435536389228,27,4.5221389954265476e-06,COMPLETE
86,0.29147070235785705,2025-11-27 18:18:19.438712,2025-11-27 18:19:14.199944,0 days 00:00:54.761232,0.3473588874441723,98,0.0001053373563067758,29,0.0004983951899830099,COMPLETE
87,0.2956631150784243,2025-11-27 18:19:14.266608,2025-11-27 18:20:02.342188,0 days 00:00:48.075580,0.3110812994007033,84,7.703706671969841e-05,28,0.0008408645794977582,COMPLETE
88,0.2954327843405984,2025-11-27 18:20:02.411860,2025-11-27 18:20:53.043969,0 days 00:00:50.632109,0.3885958142130931,90,0.0002660604130918982,30,0.00028767298462790064,COMPLETE
89,0.29091521859497405,2025-11-27 18:20:53.106382,2025-11-27 18:21:50.829299,0 days 00:00:57.722917,0.3305667204886315,104,0.0001948278320782992,26,0.0003682499246584072,COMPLETE
90,0.2903434744222762,2025-11-27 18:21:50.894150,2025-11-27 18:22:43.318379,0 days 00:00:52.424229,0.4164977246196765,93,0.00013914938310161513,27,0.00020651365785831952,COMPLETE
91,0.2905440639201603,2025-11-27 18:22:43.382031,2025-11-27 18:23:35.849443,0 days 00:00:52.467412,0.3618462664463308,93,0.00013566261114706106,27,0.00022509840206346438,COMPLETE
