number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_ecfp_bits,params_hidden_units,state
88,0.3249309310913086,2025-12-09 13:44:07.286245,2025-12-09 13:45:01.460054,0 days 00:00:54.173809,0.4140936960158616,1024,2000,COMPLETE
89,0.3267476959228516,2025-12-09 13:45:01.488144,2025-12-09 13:45:47.277117,0 days 00:00:45.788973,0.3021789347045266,1024,1024,COMPLETE
90,0.32891062927246095,2025-12-09 13:45:47.305171,2025-12-09 13:46:40.972538,0 days 00:00:53.667367,0.42400303692641206,2048,2000,COMPLETE
91,0.32444712448120117,2025-12-09 13:46:40.999972,2025-12-09 13:47:27.852454,0 days 00:00:46.852482,0.3632056370536082,1024,2000,COMPLETE
92,0.324295280456543,2025-12-09 13:47:27.880362,2025-12-09 13:48:13.655824,0 days 00:00:45.775462,0.3755889598934561,1024,2000,COMPLETE
93,0.32324441719055175,2025-12-09 13:48:13.682862,2025-12-09 13:49:06.926518,0 days 00:00:53.243656,0.3479927138526694,1024,2000,COMPLETE
94,0.3248941650390625,2025-12-09 13:49:06.954903,2025-12-09 13:49:56.854433,0 days 00:00:49.899530,0.3272934846743033,1024,2000,COMPLETE
95,0.323204402923584,2025-12-09 13:49:56.885033,2025-12-09 13:50:45.985636,0 days 00:00:49.100603,0.43510712202998736,1024,2000,COMPLETE
96,0.32518978118896485,2025-12-09 13:50:46.014072,2025-12-09 13:51:35.491674,0 days 00:00:49.477602,0.4041500076522011,1024,2000,COMPLETE
97,0.32139585876464843,2025-12-09 13:51:35.520679,2025-12-09 13:52:27.121523,0 days 00:00:51.600844,0.37217765770214556,1024,2000,COMPLETE
98,0.3357360954284668,2025-12-09 13:52:27.149206,2025-12-09 13:53:12.549233,0 days 00:00:45.400027,0.38676317541509625,512,512,COMPLETE
99,0.32657846450805667,2025-12-09 13:53:12.577184,2025-12-09 13:54:00.317221,0 days 00:00:47.740037,0.35436913709291096,1024,2000,COMPLETE
