split_mode,feature_type,n_train,n_val,n_test,seed,n_pos_req,n_neg_req,pos_metric,neg_metric,overall_metric,best_epoch
domain,ecfp+rdkit2d+flag,,,,0,10,6990,0.4500228642589516,0.6838093434052592,0.6779565527317566,7
domain,ecfp+rdkit2d+flag,,,,1,10,6990,0.442060907681783,0.6881666148371048,0.6820054151097077,7
domain,ecfp+rdkit2d+flag,,,,2,10,6990,0.4303418945314156,0.6737799987598149,0.6676855809372618,8
domain,ecfp+rdkit2d+flag,,,,3,10,6990,0.39939451973057455,0.6851434265110594,0.6779897686195079,7
domain,ecfp+rdkit2d+flag,,,,4,10,6990,0.4939400888979435,0.6736691021970765,0.6691696287264111,6
domain,ecfp+rdkit2d+flag,,,,0,20,6980,0.4994743079360988,0.6820820749135483,0.6775105326528427,6
domain,ecfp+rdkit2d+flag,,,,1,20,6980,0.5145129035744402,0.6869264085658862,0.6826100743185309,8
domain,ecfp+rdkit2d+flag,,,,2,20,6980,0.5004362865454621,0.6749761837100167,0.6706066163093556,9
domain,ecfp+rdkit2d+flag,,,,3,20,6980,0.4759044986632135,0.6852747289564849,0.6800331944257788,6
domain,ecfp+rdkit2d+flag,,,,4,20,6980,0.4671340487483475,0.677472219211893,0.6722064502925841,9
domain,ecfp+rdkit2d+flag,,,,0,50,6950,0.5921722911298275,0.6814069752242634,0.6791730054987074,8
domain,ecfp+rdkit2d+flag,,,,1,50,6950,0.5658876370224688,0.6832344665453794,0.6802967152388583,7
domain,ecfp+rdkit2d+flag,,,,2,50,6950,0.5703251666078964,0.6757054299975714,0.673067260123608,9
domain,ecfp+rdkit2d+flag,,,,3,50,6950,0.5515942213435968,0.6877016771635235,0.6842942593323899,8
domain,ecfp+rdkit2d+flag,,,,4,50,6950,0.5592020841108428,0.6772570149759136,0.6743015371663276,6
domain,ecfp+rdkit2d+flag,,,,0,100,6900,0.6497161587079366,0.6778081290522641,0.6771048534501561,8
domain,ecfp+rdkit2d+flag,,,,1,100,6900,0.6280188022388352,0.6846163662890512,0.6831994572847366,7
domain,ecfp+rdkit2d+flag,,,,2,100,6900,0.6193169930742847,0.6725212100112065,0.6711892544503048,6
domain,ecfp+rdkit2d+flag,,,,3,100,6900,0.5882350698941283,0.6859393909509784,0.6834933860233943,7
domain,ecfp+rdkit2d+flag,,,,4,100,6900,0.577168887688054,0.6756777070323121,0.6732115613282299,8
domain,ecfp+rdkit2d+flag,,,,0,120,6880,0.6859837337914441,0.6811331388644858,0.6812545723448247,9
domain,ecfp+rdkit2d+flag,,,,1,120,6880,0.6634280416700575,0.6835978259485262,0.6830928785498455,8
domain,ecfp+rdkit2d+flag,,,,2,120,6880,0.6064323944350084,0.6843930053791714,0.6824412810174497,6
domain,ecfp+rdkit2d+flag,,,,3,120,6880,0.5872991287873851,0.6897477298262881,0.6871829521745153,6
domain,ecfp+rdkit2d+flag,,,,4,120,6880,0.5808405242860317,0.6777882040584574,0.6753611383578833,7
domain,ecfp+rdkit2d+flag,,,,0,170,6830,0.7250205990340974,0.6765225956126112,0.677736730506496,8
domain,ecfp+rdkit2d+flag,,,,1,170,6830,0.6690563393963708,0.6859409984230421,0.6855182920366277,8
domain,ecfp+rdkit2d+flag,,,,2,170,6830,0.639955475098557,0.6748354373430084,0.6739622234668073,7
domain,ecfp+rdkit2d+flag,,,,3,170,6830,0.6142530002527766,0.6805726627562827,0.6789123642352903,6
domain,ecfp+rdkit2d+flag,,,,4,170,6830,0.6096730459895399,0.677205461360376,0.6755148044286066,5
domain,ecfp+rdkit2d+rdkit3d,,,,0,0,7000,0.4097033063881099,0.6772003125016725,0.6705035852017049,9
domain,ecfp+rdkit2d+rdkit3d,,,,1,0,7000,0.4136681180033419,0.6783336979807348,0.6717078558665406,9
domain,ecfp+rdkit2d+rdkit3d,,,,2,0,7000,0.4112849049270153,0.6809164555730051,0.6741662907682267,6
domain,ecfp+rdkit2d+rdkit3d,,,,3,0,7000,0.3462494783517387,0.6837542509705296,0.6753048986515162,6
domain,ecfp+rdkit2d+rdkit3d,,,,4,0,7000,0.44676978948215645,0.6756997866794027,0.6699685775957417,6
domain,ecfp+rdkit2d+rdkit3d,,,,0,1,6999,0.3813982978463173,0.6782515290453658,0.6708198781442597,8
domain,ecfp+rdkit2d+rdkit3d,,,,1,1,6999,0.4159734824465381,0.6822515485333956,0.6755853375356504,7
domain,ecfp+rdkit2d+rdkit3d,,,,2,1,6999,0.41266182499627274,0.6741916696353684,0.6676443322368681,7
domain,ecfp+rdkit2d+rdkit3d,,,,3,1,6999,0.39726367965340614,0.6871301156454407,0.6798733756101919,6
domain,ecfp+rdkit2d+rdkit3d,,,,4,1,6999,0.42949899658560753,0.6696734542761811,0.6636607409836996,8
domain,ecfp+rdkit2d+rdkit3d,,,,0,2,6998,0.4554879466692607,0.6781364388965846,0.6725624866099699,6
domain,ecfp+rdkit2d+rdkit3d,,,,1,2,6998,0.41714805737137794,0.6851682915842524,0.6784584668538791,10
domain,ecfp+rdkit2d+rdkit3d,,,,2,2,6998,0.41280809479455155,0.6768898373049884,0.6702786117185928,7
domain,ecfp+rdkit2d+rdkit3d,,,,3,2,6998,0.3945273392730289,0.6860917695781705,0.6787925220165215,6
domain,ecfp+rdkit2d+rdkit3d,,,,4,2,6998,0.4163869857374165,0.6697793242796597,0.6634357040475987,7
domain,ecfp+rdkit2d+rdkit3d,,,,0,5,6995,0.4150995331712895,0.6753808771366866,0.668864794092247,8
domain,ecfp+rdkit2d+rdkit3d,,,,1,5,6995,0.42116728362937766,0.6830223675853122,0.6764668851316245,6
domain,ecfp+rdkit2d+rdkit3d,,,,2,5,6995,0.461852281457848,0.6812069627048498,0.675715469753937,5
domain,ecfp+rdkit2d+rdkit3d,,,,3,5,6995,0.3767989492043853,0.6808662787661057,0.6732540240570234,10
domain,ecfp+rdkit2d+rdkit3d,,,,4,5,6995,0.4271508159322871,0.6755532484741406,0.6693345491734873,9
domain,ecfp+rdkit2d+rdkit3d,,,,0,10,6990,0.4342254266763727,0.6810143916270153,0.6748360871265788,6
domain,ecfp+rdkit2d+rdkit3d,,,,1,10,6990,0.42188752970347804,0.6838636178524631,0.6773051070036452,8
domain,ecfp+rdkit2d+rdkit3d,,,,2,10,6990,0.4926293094952901,0.6791167163519924,0.6744480463099745,6
domain,ecfp+rdkit2d+rdkit3d,,,,3,10,6990,0.39370134058925843,0.6832699032552118,0.6760206204252198,8
domain,ecfp+rdkit2d+rdkit3d,,,,4,10,6990,0.47492999997403884,0.6772569289594389,0.6721917210886402,6
domain,ecfp+rdkit2d+rdkit3d,,,,0,20,6980,0.4825428182440292,0.6805927469640886,0.6756346131751368,9
domain,ecfp+rdkit2d+rdkit3d,,,,1,20,6980,0.5165384814608842,0.6798696837543421,0.6757807237635625,9
domain,ecfp+rdkit2d+rdkit3d,,,,2,20,6980,0.5256028783818086,0.6817171487145114,0.6778088622334955,8
domain,ecfp+rdkit2d+rdkit3d,,,,3,20,6980,0.48531592533820206,0.6858263819740179,0.680806649006872,6
domain,ecfp+rdkit2d+rdkit3d,,,,4,20,6980,0.49168871094783145,0.6778865839318906,0.673225162884226,8
domain,ecfp+rdkit2d+rdkit3d,,,,0,50,6950,0.6087071117427614,0.6781566935809284,0.6764180400591442,9
domain,ecfp+rdkit2d+rdkit3d,,,,1,50,6950,0.5714099920458264,0.683851044755243,0.6810361085050274,8
domain,ecfp+rdkit2d+rdkit3d,,,,2,50,6950,0.5495600973566374,0.6758270356305921,0.6726659715508522,7
domain,ecfp+rdkit2d+rdkit3d,,,,3,50,6950,0.5263738859858778,0.6849617740284178,0.6809915603327621,8
domain,ecfp+rdkit2d+rdkit3d,,,,4,50,6950,0.5722054118911425,0.6799254888298444,0.6772287409003639,10
domain,ecfp+rdkit2d+rdkit3d,,,,0,100,6900,0.6262144247690836,0.6765714837371049,0.6753108054723316,6
